n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7,EQ_total,SQ_total,ale1_iden_sent,ale2_des_sent,ale3_pen_ext,int_emo_1_perc_emo,int_emo_2_compr_emo,int_emo_3_reg_emo,toma_pers
43,2021/12/03 6:03:14 p. m. GMT,Educación Universitaria Completa,23,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,1,1,2,0,1,2,0,2,0,1,1,0,1,0,1,2,3,2,1,3,2,2,1,2,2,1,4,3,1,2,2,5,5,5,4,2,5,4,4,5,3,2,3,4,3,4,4,4,5,4,5,4,5,5,2,5,4,5,5,4,4,4,5,5,4,5,4,5,14,8,12,17,7,30,33,35,32
44,2021/12/03 10:59:01 p. m. GMT,Education Técnico Profesional Completa,48,Mujer,Soltero,Sí,44,Sí,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,0,1,1,2,1,1,2,1,2,0,2,0,0,0,2,2,0,0,2,1,5,1,5,1,1,1,5,1,1,2,2,1,1,1,3,4,5,5,1,5,4,5,5,3,2,3,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,4,3,5,5,5,5,5,5,10,8,7,18,8,30,39,37,33
45,2021/12/04 12:51:17 a. m. GMT,Educación Universitaria Completa,28,Hombre,Soltero,Sí,44,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,0,0,0,0,0,0,1,2,0,2,2,2,2,2,1,1,0,2,4,4,1,4,1,5,4,1,1,2,4,5,1,1,5,1,4,4,3,1,4,3,3,4,2,2,4,3,4,4,4,4,4,2,2,4,3,3,5,5,4,3,3,2,4,2,2,3,2,4,2,2,1,14,17,21,9,25,28,28,17
46,2021/12/04 1:13:45 a. m. GMT,Educación Universitaria Completa,24,Mujer,Soltero,Sí,15,No,700.000 a 890.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,2,2,1,2,1,2,0,1,0,2,2,2,2,2,1,2,3,2,2,2,2,4,2,1,3,1,2,2,1,1,2,2,2,4,5,1,5,5,4,5,4,3,4,4,4,4,4,4,4,3,4,4,5,5,4,5,4,4,5,2,4,5,3,5,4,4,2,4,13,14,16,10,6,34,31,34,27
47,2021/12/04 4:29:50 p. m. GMT,Educacion Universitaria Incompleta,26,Hombre,Soltero,Sí,44,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,2,1,1,0,2,0,1,0,0,2,0,0,2,2,1,1,2,3,1,1,3,1,1,1,2,1,1,1,3,3,1,4,4,5,5,4,5,2,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,5,20,6,8,9,8,32,39,40,32
48,2021/12/04 9:16:09 p. m. GMT,Educación Media Completa,43,Mujer,Casado,No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,2,2,2,2,2,2,1,2,0,2,0,2,0,2,1,2,2,2,5,5,3,5,1,5,5,5,5,1,5,5,5,5,1,1,5,5,3,1,5,5,5,5,3,4,5,3,1,1,1,1,1,2,2,2,4,4,1,5,5,4,5,2,4,5,5,5,5,5,5,5,18,13,33,25,8,35,11,30,35
49,2021/12/05 5:16:09 a. m. GMT,Educacion Universitaria Incompleta,24,Hombre,Soltero,Sí,20,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Universitaria completa,Técnica educación superior completa,Prefiero no responder.,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,2,0,2,2,3,3,2,3,2,4,4,2,2,1,2,2,2,3,3,2,2,5,3,1,4,4,3,3,3,3,3,3,2,2,3,4,3,3,3,3,2,2,2,2,2,4,5,3,4,4,4,4,4,4,3,4,12,9,20,12,8,26,23,22,27
50,2021/12/05 8:56:21 p. m. GMT,Educación Media Completa,54,Hombre,Soltero,Sí,9,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,0,2,2,1,2,1,4,2,2,2,2,0,0,2,2,0,0,2,4,5,2,4,3,5,2,4,2,1,2,2,2,2,3,5,5,5,5,5,5,5,2,3,5,4,2,2,5,4,3,5,4,3,3,3,4,5,4,5,4,4,5,4,4,2,5,5,1,5,1,5,13,12,19,18,11,28,30,35,24
51,2021/12/06 3:33:56 p. m. GMT,Educación Universitaria Completa,29,Mujer,Soltero,Sí,40,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,1,2,2,2,2,2,1,1,2,1,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,1,5,5,5,5,4,5,5,5,4,4,4,4,4,5,2,4,2,2,2,2,2,4,5,5,4,4,5,5,5,5,4,5,16,13,8,6,4,39,31,24,33
52,2021/12/06 6:12:11 p. m. GMT,Education Técnico Profesional Completa,29,Mujer,Soltero,Sí,8,Sí,300.000 a 490.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,2,2,2,1,2,2,2,2,1,2,2,0,0,1,0,2,2,0,0,2,2,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,18,9,10,8,4,28,38,40,35
53,2021/12/06 7:20:25 p. m. GMT,Educacion Universitaria Incompleta,22,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,1,2,2,1,1,1,0,0,0,0,2,0,1,0,1,2,5,5,3,4,1,4,4,1,4,1,4,5,5,5,2,1,4,5,5,2,4,4,4,5,3,4,4,2,2,2,2,4,2,2,4,3,2,2,2,2,3,4,3,5,4,5,5,5,5,5,2,2,16,5,30,22,5,30,21,23,29
54,2021/12/06 7:38:57 p. m. GMT,Educación Media Completa,43,Hombre,Conviviente,Sí,48,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,2,2,1,2,2,1,1,0,1,0,0,0,1,2,1,0,2,2,2,2,2,2,3,2,3,2,1,2,3,2,2,3,3,2,4,4,1,4,4,3,4,3,3,4,4,4,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,5,3,5,18,6,15,11,9,29,31,36,30
55,2021/12/06 11:12:13 p. m. GMT,Education Técnico Profesional Completa,60,Mujer,Soltero,Sí,44,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,2,1,2,1,1,2,0,0,0,2,2,0,2,2,0,2,1,1,1,2,1,1,1,1,1,1,4,1,3,1,1,2,2,5,5,1,5,3,3,4,2,1,1,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,4,4,4,5,5,5,4,4,15,10,9,10,4,23,40,35,31
56,2021/12/11 5:38:09 a. m. GMT,Educacion Universitaria Incompleta,25,Hombre,Soltero,Sí,45,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,2,1,2,1,2,2,1,2,0,0,0,0,2,1,2,2,0,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,3,2,1,1,5,1,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,3,4,14,9,10,8,8,33,34,33,28
57,2021/12/11 4:46:42 p. m. GMT,Educación Universitaria Completa,27,Hombre,Soltero,Sí,8,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2,1,0,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,4,1,1,2,3,4,4,1,5,3,4,5,3,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,3,4,3,4,4,4,5,5,4,4,5,4,8,6,14,11,6,32,32,29,31
58,2021/12/11 10:53:28 p. m. GMT,Educación Técnico Profesional Incompleta,27,Mujer,Soltero,Sí,45,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,1,1,0,0,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,19,4,9,5,5,39,39,40,35
59,2021/12/11 10:57:49 p. m. GMT,Educación Media Completa,18,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2,2,4,4,4,2,2,4,4,2,3,4,4,3,2,3,3,4,4,4,1,2,4,2,4,3,2,3,3,3,4,3,2,3,3,4,4,4,4,4,4,4,4,2,4,4,2,3,4,4,2,3,4,1,4,19,20,12,23,26,30,22
60,2021/12/05 5:57:23 a. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,700.000 a 890.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,2,1,2,2,2,1,1,2,2,1,0,2,1,2,0,1,0,2,4,4,4,4,2,5,4,3,5,1,5,5,5,5,2,1,5,4,3,1,3,3,2,2,3,2,2,3,3,2,2,3,2,3,4,3,1,2,2,2,5,3,5,4,4,4,4,4,4,5,4,5,16,11,32,23,8,20,22,24,30
61,2021/12/05 6:19:16 a. m. GMT,Educación Técnico Profesional Incompleta,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,0,0,2,1,1,1,1,0,1,1,1,1,2,0,1,1,1,1,0,0,2,3,2,2,3,2,4,4,3,3,1,4,3,4,4,2,3,4,4,4,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,4,3,2,2,2,3,3,3,5,3,4,3,3,2,4,2,2,4,8,8,24,16,8,25,25,23,20
62,2021/12/05 2:34:18 p. m. GMT,Educación Técnico Profesional Incompleta,20,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,2,1,0,1,1,0,1,2,1,2,2,1,2,2,2,2,0,2,5,5,5,4,4,2,5,5,5,1,2,3,5,5,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,4,4,1,1,1,1,1,1,4,2,3,4,2,4,5,3,4,4,4,8,16,32,19,13,38,33,14,26
63,2021/12/05 3:40:39 p. m. GMT,Educación Técnico Profesional Incompleta,20,Hombre,Conviviente,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,2,0,2,0,0,1,1,4,2,0,2,0,0,2,2,0,2,2,4,1,4,1,3,4,4,1,2,1,1,1,1,1,1,3,5,1,1,5,1,5,3,1,5,1,1,1,3,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,3,3,5,5,8,12,10,10,10,20,35,40,27
65,2021/12/06 3:10:55 a. m. GMT,Educación Media Incompleta,58,Hombre,Casado,Sí,60,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,2,0,2,0,4,2,0,2,0,2,2,2,0,2,2,4,4,4,1,1,1,1,5,5,5,2,5,5,5,1,5,1,5,5,5,1,5,5,5,4,1,5,5,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,2,5,4,1,5,4,5,14,14,22,20,13,35,39,36,26
67,2021/12/07 12:25:32 a. m. GMT,Educacion Universitaria Incompleta,25,Hombre,Soltero,Sí,46,No,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,1,0,0,1,0,3,1,1,1,0,0,1,0,0,1,1,3,4,4,4,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,7,6,24,15,13,26,26,25,21
69,2021/12/11 11:14:06 p. m. GMT,"Educación de Postgrado (Magister, Master o Doctorado) Completa",36,Hombre,Soltero,Sí,44,No,Sobre los valores anteriores,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,1,1,0,1,1,1,2,0,1,0,0,1,1,2,1,1,2,3,2,1,2,1,3,1,1,3,2,2,4,3,1,2,3,4,4,4,2,3,3,3,3,1,3,2,2,4,4,1,3,4,4,4,4,4,4,4,4,5,3,5,4,4,4,4,4,2,4,3,4,9,9,15,14,6,20,28,33,25
70,2021/12/11 11:27:02 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,9,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,2,5,5,3,4,2,4,4,1,4,1,5,4,5,5,2,1,5,5,5,3,5,5,5,5,4,5,5,5,2,2,3,2,3,2,2,2,2,4,2,2,1,4,5,2,4,4,5,5,4,4,3,3,2,4,30,23,6,39,18,22,28
71,2021/12/11 11:51:48 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,1,1,0,2,1,0,1,1,1,0,0,1,2,0,1,2,0,2,3,5,3,5,1,3,4,5,4,1,5,3,3,4,1,3,5,2,4,2,5,3,2,5,4,3,3,2,2,3,3,4,4,2,3,5,4,4,3,4,4,3,5,3,4,4,4,5,5,5,3,4,8,8,24,23,8,27,26,30,30
72,2021/12/11 11:54:45 p. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2,4,4,3,4,1,5,4,2,4,2,5,4,4,5,4,2,5,3,4,1,2,2,4,3,2,4,4,4,2,3,3,2,3,3,4,3,1,4,2,4,4,2,2,4,4,2,3,3,2,4,2,2,4,3,29,22,9,25,23,23,18
73,2021/12/12 12:03:38 a. m. GMT,Educacion Universitaria Incompleta,33,Hombre,Casado,Sí,75,Sí,700.000 a 890.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,3,3,1,1,4,1,4,4,5,1,3,3,2,5,1,1,1,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,2,4,4,5,5,3,4,12,17,7,13,8,19,38,40,27
74,2021/12/12 12:16:06 a. m. GMT,Educacion Universitaria Incompleta,31,Mujer,Casado,No,0,Sí,700.000 a 890.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,0,0,0,1,0,0,1,2,0,2,2,2,0,2,2,1,0,2,2,4,4,1,1,3,3,1,4,4,3,1,2,2,4,3,2,1,2,3,2,2,2,2,4,2,2,2,2,2,2,3,2,3,4,3,3,3,3,3,4,3,4,4,4,2,4,4,1,4,1,3,2,13,20,11,10,18,21,27,19
75,2021/12/12 3:29:20 a. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,Sí,8,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,0,2,2,2,2,0,1,1,2,0,0,2,1,0,0,1,2,2,4,4,3,3,3,4,2,3,2,3,2,2,1,4,3,4,4,3,4,4,3,4,3,4,2,3,3,3,4,3,3,2,3,2,3,3,3,3,1,3,3,4,4,5,4,3,4,4,1,5,4,4,11,9,20,15,12,25,23,26,25
76,2021/12/12 4:05:59 p. m. GMT,Educacion Basica Incompleta,79,Mujer,Viudo(a),No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,2,2,1,2,2,1,2,2,2,0,1,2,2,1,0,2,2,1,2,4,2,1,4,4,5,4,5,4,5,5,5,3,4,5,5,5,3,5,5,5,4,1,5,5,5,5,3,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,1,5,5,1,4,5,5,16,14,27,18,14,35,33,40,26
77,2021/12/12 4:06:49 p. m. GMT,Educación Media Completa,18,Mujer,Soltero,Sí,42,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,1,1,2,2,2,0,1,1,1,2,1,0,2,0,0,0,0,2,4,5,1,4,3,4,3,4,2,1,3,4,2,2,5,5,5,4,5,3,3,2,2,3,4,2,2,2,3,4,4,4,4,2,5,4,4,4,1,4,1,4,5,4,4,4,4,4,2,4,3,4,11,7,18,21,13,20,30,27,25
78,2021/12/12 6:47:46 p. m. GMT,Educación Técnico Profesional Incompleta,18,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,2,1,2,2,2,1,0,1,1,2,0,0,2,2,0,0,0,2,2,5,5,5,5,4,4,5,4,4,2,4,5,5,5,2,3,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,4,5,2,2,2,4,4,5,5,2,5,5,4,4,4,4,5,4,4,5,5,13,9,33,24,12,38,29,34,31
79,2021/12/12 8:31:41 p. m. GMT,Educación Media Completa,48,Mujer,Casado,Sí,44,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,0,2,0,0,2,0,1,1,0,2,2,0,2,2,0,0,1,2,5,5,5,2,2,4,3,4,5,2,4,3,3,3,4,5,4,4,4,3,5,5,4,4,3,3,3,3,4,4,4,4,4,5,5,5,5,5,4,5,4,4,5,5,4,1,4,4,2,4,3,3,10,10,28,18,12,30,35,37,21
80,2021/12/13 1:04:57 a. m. GMT,Education Técnico Profesional Completa,23,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,1,2,2,2,4,1,1,2,1,1,1,1,1,1,0,2,3,2,2,3,3,4,4,3,3,3,2,1,2,3,1,2,2,4,3,2,5,5,4,4,4,3,3,4,4,3,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,5,3,4,15,10,21,10,10,32,28,29,28
81,2021/12/14 12:29:46 a. m. GMT,Educacion Universitaria Incompleta,23,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,2,1,2,1,0,1,1,1,0,2,0,2,0,0,0,1,1,2,4,4,1,5,2,5,3,5,5,3,5,5,4,5,5,5,5,5,4,3,2,3,2,4,3,2,3,4,2,2,4,2,2,1,4,1,5,5,5,4,4,3,5,2,4,1,4,4,1,4,2,4,10,7,27,24,15,23,18,33,20
82,2021/12/14 1:34:22 p. m. GMT,Educacion Universitaria Incompleta,22,Mujer,Soltero,Sí,40,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,1,1,1,1,0,1,2,1,2,1,0,1,2,0,2,0,2,4,2,5,3,1,3,2,1,2,2,4,3,2,5,2,1,2,4,5,1,5,5,5,5,4,4,4,5,3,4,4,5,5,3,5,5,2,2,1,2,3,3,5,4,4,3,4,2,1,4,2,3,11,11,23,14,6,37,34,22,19
83,2021/12/14 1:59:02 p. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,1,1,2,2,2,4,1,0,0,0,0,0,0,0,1,1,2,2,3,1,2,5,2,1,1,1,1,2,3,1,1,1,2,1,5,4,1,5,4,4,4,2,2,3,4,4,5,4,5,5,4,5,5,4,4,4,3,4,4,5,4,4,4,4,4,4,4,3,4,15,3,9,11,8,28,37,32,27
84,2021/12/14 9:42:22 p. m. GMT,Education Técnico Profesional Completa,25,Mujer,Casado,No,0,Sí,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,2,2,2,1,2,2,2,0,1,2,2,0,0,2,0,2,2,1,0,2,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,2,1,4,1,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,1,5,5,5,5,1,4,3,5,5,3,3,5,5,13,11,11,5,5,40,35,32,29
85,2021/12/14 11:50:15 p. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,0,1,2,0,2,0,1,2,2,2,2,0,2,2,1,0,2,2,5,5,5,3,2,5,4,2,5,1,5,3,3,5,2,3,5,5,5,4,5,5,5,5,5,5,2,5,5,5,4,4,5,4,4,4,5,1,1,2,4,5,5,5,4,1,5,5,3,5,2,5,8,15,32,21,7,37,35,28,26
86,2021/12/15 2:34:46 a. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,10,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,1,2,0,0,0,0,1,2,0,1,0,2,2,2,2,0,0,2,5,5,2,5,1,5,1,1,5,1,5,5,4,4,1,1,5,5,5,1,4,4,4,4,5,5,5,5,1,2,2,3,5,2,2,2,4,4,1,4,4,5,5,4,4,4,4,5,2,5,4,5,5,11,26,25,4,36,19,31,29
87,2021/12/16 10:37:27 a. m. GMT,Educacion Universitaria Incompleta,42,Mujer,Soltero,Sí,25,Sí,700.000 a 890.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,2,2,1,2,2,1,2,0,0,0,0,2,0,0,0,0,2,1,5,1,2,1,5,2,5,2,1,1,1,1,1,3,1,2,5,5,5,5,5,3,3,1,1,1,1,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,18,4,13,11,10,20,38,39,33
88,2021/12/18 1:52:42 a. m. GMT,Educacion Universitaria Incompleta,23,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,0,1,1,1,1,2,0,1,0,0,0,0,2,2,1,2,3,5,2,4,1,2,2,4,2,2,3,4,3,2,2,3,5,4,4,2,3,4,4,4,3,3,3,4,3,3,4,2,4,3,4,4,4,4,2,3,4,4,4,4,4,3,4,4,3,4,2,3,9,8,16,21,9,28,27,29,23
89,2021/12/29 9:32:54 p. m. GMT,Educación Universitaria Completa,24,Mujer,Soltero,Sí,20,No,700.000 a 890.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,2,2,2,1,2,0,1,1,0,1,1,1,0,1,2,1,2,2,4,2,3,1,1,4,3,2,3,1,2,1,1,1,2,2,2,5,5,1,4,5,4,5,2,5,4,5,5,5,5,5,5,5,2,5,4,2,2,2,4,4,5,4,4,5,5,5,2,5,5,5,15,10,19,8,6,34,37,27,32
90,2021/12/29 9:46:53 p. m. GMT,Educación Media Completa,23,Hombre,Soltero,Sí,30,No,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,1,0,0,0,1,0,1,2,0,0,0,0,0,0,2,1,1,2,1,2,1,3,4,3,3,1,1,3,2,4,1,2,4,5,4,3,4,1,5,2,4,3,1,3,5,4,5,5,5,4,5,2,4,4,3,5,3,4,3,5,5,5,4,2,4,4,3,5,5,4,5,6,12,15,12,27,34,33,27
